Home,Away,Date
Michigan,Minnesota,2026-02-24
Notre Dame,Duke,2026-02-24
Baylor,Arizona,2026-02-24
Utah,Iowa State,2026-02-24
Texas Tech,Cincinnati,2026-02-24
Virginia,NC State,2026-02-24
Dayton,Saint Louis,2026-02-24
Eastern Michigan,Miami,2026-02-24
BYU,UCF,2026-02-24
Akron,Buffalo,2026-02-24
Boston College,Wake Forest,2026-02-24
Florida State,Miami,2026-02-24
Indiana,Northwestern,2026-02-24
Kent State,Central Michigan,2026-02-24
Providence,Xavier,2026-02-24
Rutgers,Washington,2026-02-24
UIC,Bradley,2026-02-24
North Texas,UTSA,2026-02-24
Troy,Louisiana,2026-02-24
Tulsa,Tulane,2026-02-24
Air Force,San Jose State,2026-02-24
Arizona,Houston,2026-02-24
Boise State,Wyoming,2026-02-24
Colorado State,Fresno State,2026-02-24
Colorado,Utah,2026-02-24
Nevada,New Mexico,2026-02-24
UCLA,USC,2026-02-24
Georgia State,Coastal Carolina,2026-02-24
Morehead State,Southern Indiana,2026-02-24
Arkansas State,Troy,2026-02-24
La Salle,George Washington,2026-02-24
New Haven,Saint Francis,2026-02-24
Ball State,UMass,2026-02-24
Bowling Green,Western Michigan,2026-02-24
Florida Atlantic,Charlotte,2026-02-24
Georgetown,Marquette,2026-02-24
Marshall,Old Dominion,2026-02-24
Missouri State,Sam Houston,2026-02-24
Oklahoma State,West Virginia,2026-02-24
Queens,West Georgia,2026-02-24
South Carolina,Kentucky,2026-02-24
Toledo,Northern Illinois,2026-02-24
Arkansas State,Southern Miss,2026-02-24
Missouri,Tennessee,2026-02-24
Oklahoma,Auburn,2026-02-24
TCU,Arizona State,2026-02-24
