Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,AdjD_Rank
Duke,ACC,39.65,127.9,88.3,65.4,0.034,1
Michigan,B10,39.43,128.5,89.1,71.4,0.027,2
Arizona,B12,37.12,127.0,89.9,70.1,0.008,3
Florida,SEC,34.97,125.9,90.9,70.7,-0.059,4
Illinois,B10,33.1,132.4,99.3,65.2,-0.044,5
Houston,B12,32.66,125.4,92.7,63.2,-0.008,6
Purdue,B10,30.27,129.9,99.6,65.0,-0.015,7
Iowa St.,B12,30.2,124.0,93.8,66.5,0.007,8
Michigan St.,B10,29.72,122.2,92.5,65.4,0.018,9
Connecticut,BE,29.26,123.6,94.4,64.8,0.066,10
Nebraska,B10,28.32,120.6,92.3,66.7,0.003,11
Gonzaga,WCC,28.25,122.5,94.3,69.0,0.067,12
Texas Tech,B12,27.59,126.6,99.0,66.6,0.02,13
Vanderbilt,SEC,26.53,125.5,98.9,69.1,-0.0,14
Alabama,SEC,26.53,129.7,103.2,73.1,0.046,15
Kansas,B12,26.31,120.5,94.2,67.0,0.049,16
Virginia,ACC,26.28,122.5,96.3,65.6,0.058,17
Tennessee,SEC,25.99,121.2,95.2,65.0,-0.045,18
Louisville,ACC,25.85,124.8,99.0,70.4,-0.034,19
Arkansas,SEC,25.48,128.2,102.7,70.8,0.018,20
St. John's,BE,24.78,119.9,95.1,69.8,0.046,21
Saint Mary's,WCC,23.6,120.8,97.2,65.2,0.024,22
BYU,B12,23.34,126.1,102.8,69.9,-0.025,23
Iowa,B10,22.21,122.2,100.0,62.8,-0.028,24
Kentucky,SEC,22.01,121.2,99.2,67.8,-0.004,25
Utah St.,MWC,21.81,123.6,101.8,67.6,0.04,26
Saint Louis,A10,21.69,121.1,99.4,71.3,0.014,27
North Carolina,ACC,21.28,122.5,101.2,67.6,0.074,28
Texas,SEC,21.05,127.5,106.5,66.2,-0.062,29
Wisconsin,B10,21.01,123.9,102.9,69.3,0.035,30
N.C. State,ACC,20.86,123.2,102.4,69.0,-0.016,31
Miami FL,ACC,20.56,120.8,100.3,67.9,0.011,32
Georgia,SEC,20.49,125.0,104.6,71.0,-0.007,33
Ohio St.,B10,20.15,123.4,103.2,66.1,-0.031,34
Villanova,BE,20.09,120.8,100.7,64.7,0.072,35
Clemson,ACC,19.49,116.6,97.1,64.1,0.003,36
Santa Clara,WCC,19.48,123.0,103.5,69.9,0.008,37
Texas A&M,SEC,19.26,120.6,101.4,70.5,-0.024,38
SMU,ACC,18.7,125.1,106.4,68.8,-0.017,39
Auburn,SEC,18.67,125.8,107.1,67.1,-0.051,40
UCLA,B10,18.55,122.4,103.9,64.7,0.017,41
San Diego St.,MWC,17.79,114.6,96.8,68.8,0.002,42
Indiana,B10,17.2,121.1,103.9,65.9,-0.025,43
Cincinnati,B12,17.19,111.8,94.7,67.6,-0.065,44
VCU,A10,17.02,120.8,103.7,69.3,-0.033,45
New Mexico,MWC,16.76,117.3,100.6,69.7,0.005,46
Missouri,SEC,16.35,120.7,104.4,66.2,0.08,47
UCF,B12,16.3,122.8,106.5,69.0,0.107,48
TCU,B12,15.63,113.8,98.2,67.7,-0.002,49
Oklahoma,SEC,15.46,123.6,108.1,66.3,-0.089,50
Baylor,B12,15.42,122.5,107.1,67.7,-0.068,51
South Florida,Amer,15.08,117.6,102.5,71.4,-0.033,52
Seton Hall,BE,14.99,109.5,94.5,65.3,-0.031,53
Washington,B10,14.69,116.7,102.0,66.7,-0.101,54
Belmont,MVC,13.95,121.7,107.7,68.7,0.017,55
Tulsa,Amer,13.9,122.4,108.5,67.9,0.007,56
Virginia Tech,ACC,13.87,117.3,103.4,66.8,0.01,57
LSU,SEC,13.66,120.4,106.7,66.5,-0.065,58
West Virginia,B12,13.42,111.8,98.4,62.2,-0.023,59
Boise St.,MWC,13.38,117.0,103.7,65.4,0.027,60
Akron,MAC,13.02,121.2,108.2,70.7,-0.01,61
Grand Canyon,MWC,12.8,110.7,97.9,67.5,-0.053,62
Providence,BE,12.73,123.2,110.5,71.0,-0.095,63
Minnesota,B10,12.69,116.0,103.3,62.4,-0.08,64
Stanford,ACC,12.65,116.3,103.6,66.9,0.03,65
Arizona St.,B12,12.44,117.6,105.1,68.7,0.022,66
USC,B10,12.32,114.5,102.2,70.4,0.089,67
Northwestern,B10,12.13,116.7,104.6,65.7,-0.071,68
McNeese,Slnd,12.12,115.2,103.1,66.2,0.077,69
Nevada,MWC,11.96,116.7,104.8,65.3,0.02,70
Florida St.,ACC,11.71,116.7,105.0,70.4,-0.025,71
Colorado,B12,11.43,117.9,106.5,68.8,0.041,72
California,ACC,11.28,114.3,103.0,67.6,0.068,73
Oklahoma St.,B12,11.06,118.0,107.0,71.9,0.06,74
Dayton,A10,11.03,112.0,101.0,67.5,0.039,75
George Washington,A10,10.87,119.8,108.9,69.0,-0.152,76
Syracuse,ACC,10.71,116.2,105.5,67.6,-0.025,77
Wake Forest,ACC,10.65,117.1,106.5,67.9,-0.025,78
Mississippi,SEC,10.52,115.3,104.8,65.9,-0.078,79
Northern Iowa,MVC,10.39,108.3,98.0,62.2,-0.09,80
Creighton,BE,10.28,117.2,106.9,67.3,-0.027,81
Yale,Ivy,10.28,121.0,110.7,64.5,0.07,82
Butler,BE,10.14,117.5,107.3,68.3,-0.03,83
Notre Dame,ACC,9.77,116.0,106.2,65.5,-0.043,84
Utah Valley,WAC,9.64,112.7,103.0,69.0,0.021,85
Colorado St.,MWC,9.52,120.6,111.0,62.4,0.042,86
Miami OH,MAC,9.51,116.8,107.3,70.0,0.101,87
Stephen F. Austin,Slnd,9.32,113.4,104.1,66.0,-0.007,88
Georgetown,BE,9.01,115.2,106.2,66.2,-0.072,89
Wichita St.,Amer,9.0,113.0,104.0,66.1,-0.046,90
High Point,BSth,8.54,118.7,110.1,69.7,0.041,91
Hofstra,CAA,8.22,114.4,106.2,65.2,-0.075,92
Xavier,BE,8.11,116.1,108.0,70.1,0.01,93
South Carolina,SEC,8.01,113.2,105.2,66.4,-0.074,94
DePaul,BE,7.93,108.8,100.8,65.7,0.006,95
Mississippi St.,SEC,7.76,113.2,105.4,69.2,0.006,96
Illinois St.,MVC,7.71,111.7,104.0,66.6,-0.015,97
Oregon,B10,7.32,112.0,104.7,65.7,-0.048,98
Pittsburgh,ACC,7.17,113.2,106.0,63.7,-0.084,99
Marquette,BE,7.16,111.8,104.7,68.6,-0.117,100
Wyoming,MWC,7.09,114.3,107.2,66.2,-0.026,101
UNC Wilmington,CAA,6.94,113.2,106.3,64.7,0.039,102
Kansas St.,B12,6.9,113.0,106.1,72.2,-0.085,103
Sam Houston St.,CUSA,6.81,115.3,108.5,70.0,0.025,104
St. Thomas,Sum,6.22,114.7,108.4,68.4,-0.018,105
Davidson,A10,6.07,111.3,105.3,63.6,0.035,106
George Mason,A10,5.76,113.0,107.2,63.7,0.091,107
Hawaii,BW,5.56,107.0,101.5,69.5,0.042,108
UC Irvine,BW,5.44,103.5,98.0,68.3,-0.008,109
Illinois Chicago,MVC,5.42,109.8,104.4,66.2,-0.071,110
Liberty,CUSA,5.34,117.9,112.6,64.0,0.175,111
Pacific,WCC,5.25,110.8,105.5,64.4,-0.025,112
UC San Diego,BW,5.21,109.4,104.2,67.5,0.005,113
Southern Illinois,MVC,5.2,104.7,99.5,69.0,-0.084,114
Seattle,WCC,5.01,103.5,98.5,67.8,0.019,115
Utah,B12,4.96,114.1,109.2,66.3,-0.014,116
Murray St.,MVC,4.69,117.0,112.3,71.1,0.051,117
North Dakota St.,Sum,4.52,112.9,108.3,66.2,0.038,118
Cal Baptist,WAC,4.46,108.1,103.6,65.2,0.089,119
UNLV,MWC,4.23,115.2,110.9,69.9,0.01,120
Florida Atlantic,Amer,3.96,110.8,106.9,69.4,-0.038,121
San Francisco,WCC,3.94,113.7,109.7,65.6,0.008,122
UAB,Amer,3.9,109.3,105.4,68.8,0.002,123
Bradley,MVC,3.88,112.1,108.2,67.0,0.045,124
Duquesne,A10,3.74,111.6,107.9,69.2,-0.023,125
Fresno St.,MWC,3.7,108.5,104.8,68.0,-0.083,126
UT Rio Grande Valley,Slnd,3.64,111.2,107.6,66.3,-0.048,127
Penn St.,B10,3.51,116.0,112.4,67.4,-0.001,128
UC Santa Barbara,BW,3.5,114.8,111.3,64.1,-0.041,129
Memphis,Amer,3.43,106.6,103.2,70.0,-0.059,130
Maryland,B10,3.4,111.2,107.8,66.4,0.02,131
Saint Joseph's,A10,3.21,105.8,102.6,67.9,0.082,132
William & Mary,CAA,3.01,111.9,108.9,72.8,-0.015,133
Washington St.,WCC,2.93,114.9,112.0,67.7,-0.087,134
Navy,PL,2.92,107.5,104.6,65.1,0.066,135
Montana St.,BSky,2.91,110.9,108.0,65.9,-0.075,136
Rhode Island,A10,2.84,107.5,104.7,65.8,-0.041,137
Western Kentucky,CUSA,2.44,109.0,106.5,69.7,0.009,138
North Texas,Amer,2.23,104.6,102.4,64.8,-0.0,139
East Tennessee St.,SC,2.04,110.8,108.8,66.0,-0.044,140
Winthrop,BSth,2.04,113.0,111.0,69.4,0.005,141
Richmond,A10,1.93,111.8,109.9,67.9,-0.062,142
Arkansas St.,SB,1.75,111.4,109.6,72.2,0.024,143
Rutgers,B10,1.68,110.4,108.7,66.0,0.043,144
Toledo,MAC,1.57,114.4,112.8,68.1,-0.045,145
Robert Morris,Horz,1.56,111.6,110.1,64.6,0.042,146
Loyola Marymount,WCC,1.3,107.3,106.0,67.0,-0.033,147
Bowling Green,MAC,1.28,107.5,106.2,68.1,-0.092,148
St. Bonaventure,A10,1.27,114.9,113.6,66.9,-0.025,149
Northern Colorado,BSky,1.24,111.9,110.7,68.4,-0.004,150
Valparaiso,MVC,1.13,109.1,107.9,65.1,0.039,151
Wright St.,Horz,1.08,112.4,111.4,66.8,0.002,152
Central Arkansas,ASun,1.02,110.6,109.6,67.8,0.046,153
UC Davis,BW,0.97,110.1,109.1,68.4,0.036,154
Troy,SB,0.91,111.3,110.4,64.8,0.019,155
Charleston,CAA,0.82,108.1,107.3,67.7,0.08,156
Harvard,Ivy,0.81,107.4,106.6,62.8,-0.004,157
Eastern Washington,BSky,0.77,113.5,112.7,67.5,-0.062,158
Portland St.,BSky,0.7,103.5,102.8,67.5,0.027,159
Kent St.,MAC,0.56,111.6,111.0,70.2,0.162,160
Boston College,ACC,0.44,104.4,104.0,65.4,-0.042,161
Oakland,Horz,0.44,115.7,115.2,69.8,0.032,162
UT Arlington,WAC,0.19,103.2,103.0,65.1,0.018,163
CSUN,BW,0.18,109.1,108.9,73.4,0.074,164
Austin Peay,ASun,0.14,108.7,108.6,69.5,0.043,165
Georgia Tech,ACC,0.05,108.0,108.0,70.5,-0.024,166
Cornell,Ivy,-0.06,118.9,119.0,71.4,-0.029,167
Fordham,A10,-0.12,104.5,104.6,64.0,-0.035,168
Penn,Ivy,-0.42,107.6,108.0,69.1,0.052,169
Kennesaw St.,CUSA,-0.45,110.6,111.1,71.2,0.017,170
Cal St. Fullerton,BW,-0.8,110.7,111.5,72.5,0.027,171
Merrimack,MAAC,-0.96,108.3,109.3,63.3,0.122,172
Idaho,BSky,-0.99,108.8,109.8,67.6,-0.046,173
Temple,Amer,-1.05,112.1,113.2,64.8,-0.038,174
Montana,BSky,-1.07,107.6,108.6,69.0,0.022,175
New Orleans,Slnd,-1.07,110.9,111.9,69.6,0.051,176
Towson,CAA,-1.1,104.5,105.6,63.5,0.019,177
Northern Kentucky,Horz,-1.13,108.4,109.5,69.7,-0.031,178
Middle Tennessee,CUSA,-1.19,109.4,110.6,65.5,0.001,179
Lipscomb,ASun,-1.21,108.2,109.4,69.5,0.04,180
New Mexico St.,CUSA,-1.24,110.8,112.0,66.8,-0.107,181
Mercer,SC,-1.24,112.8,114.0,68.9,-0.006,182
Charlotte,Amer,-1.29,113.3,114.5,63.4,0.011,183
Oregon St.,WCC,-1.35,109.3,110.6,65.0,0.094,184
Appalachian St.,SB,-1.42,106.4,107.8,62.8,0.021,185
Weber St.,BSky,-1.49,112.6,114.0,68.4,-0.029,186
Texas A&M Corpus Chris,Slnd,-1.57,103.9,105.4,66.5,0.016,187
