Team,Player,PPG,APG,Conf
Stanford,Ebuka Okorie,22.8,3.4,ACC
Duke,Cameron Boozer,22.7,4.0,ACC
Wake Forest,Juke Harris,21.7,1.6,ACC
North Carolina,Caleb Wilson,19.8,2.7,ACC
Miami (FL),Malik Reneau,19.6,2.1,ACC
Louisville,Mikel Brown Jr.,18.9,4.8,ACC
SMU,Kevin Miller,18.6,6.8,ACC
Louisville,Ryan Conwell,18.5,2.6,ACC
Notre Dame,Markus Burton,18.5,3.7,ACC
SMU,Jaron Pierre Jr.,17.4,1.9,ACC
Syracuse,Donnie Freeman,16.7,1.4,ACC
California,Dai Dai Ames,16.6,2.3,ACC
Miami (FL),Tre Donaldson,16.6,5.9,ACC
North Carolina,Henri Veesaar,16.3,1.9,ACC
Virginia,Thijs De Ridder,16.0,1.6,ACC
Boston College,Fred Payne,15.7,2.6,ACC
Florida State,Robert McCray V,15.5,5.9,ACC
Notre Dame,Jalen Haralson,15.5,2.6,ACC
California,Justin Pippen,15.0,4.4,ACC
Georgia Tech,Kowacie Reeves Jr.,14.7,1.2,ACC
Virginia Tech,Amani Hansberry,14.7,2.5,ACC
Duke,Isaiah Evans,14.5,1.2,ACC
California,John Camden,14.4,1.6,ACC
Miami (FL),Shelton Henderson,14.3,2.0,ACC
North Carolina,Seth Trimble,14.2,2.4,ACC
NC State,Darrion Williams,14.2,2.9,ACC
California,Chris Bell,14.0,0.7,ACC
Stanford,Chisom Okpara,13.9,2.2,ACC
NC State,Paul McNeil Jr.,13.8,0.9,ACC
NC State,Quadir Copeland,13.6,6.8,ACC
NC State,Ven-Allen Lubin,13.5,1.0,ACC
Boston College,Donald Hand Jr.,13.4,1.4,ACC
Pittsburgh,Cameron Corhen,12.8,1.9,ACC
Georgia Tech,Baye Ndongo,12.7,2.5,ACC
SMU,B.J. Edwards,12.7,4.9,ACC
Virginia Tech,Ben Hammond,12.6,3.2,ACC
Florida State,Chauncey Wiggins,12.5,1.0,ACC
Pittsburgh,Brandin Cummings,12.5,2.1,ACC
Syracuse,JJ Starling,12.4,2.3,ACC
Virginia,Malik Thomas,12.3,1.7,ACC
Florida State,Lajae Jones,12.2,1.0,ACC
Notre Dame,Cole Certa,12.1,0.8,ACC
Virginia Tech,Neoklis Avdalas,12.1,4.9,ACC
Virginia Tech,Toibu Lawal,11.9,0.6,ACC
Pittsburgh,Barry Dunning Jr.,11.8,0.9,ACC
Miami (FL),Tru Washington,11.6,1.6,ACC
Notre Dame,Braeden Shrewsberry,11.6,1.9,ACC
SMU,Corey Washington,11.6,0.8,ACC
Clemson,RJ Godfrey,11.5,1.6,ACC
Wake Forest,Myles Colvin,11.5,1.3,ACC
Virginia Tech,Jailen Bedford,11.4,1.2,ACC
Louisville,J'Vonne Hadley,11.3,1.7,ACC
Syracuse,Nate Kingz,11.3,1.3,ACC
Virginia,Sam Lewis,10.9,1.4,ACC
SMU,Samet Yigitoglu,10.8,1.7,ACC
Wake Forest,Tre'Von Spillers,10.8,1.8,ACC
Duke,Patrick Ngongba,10.7,2.0,ACC
Stanford,Benny Gealer,10.7,1.8,ACC
Louisville,Isaac McKneely,10.6,1.2,ACC
Pittsburgh,Roman Siulepa,10.5,1.0,ACC
Clemson,Carter Welling,10.3,1.3,ACC
Syracuse,Naithan George,10.3,5.3,ACC
Georgia Tech,Lamar Washington,10.2,5.1,ACC
Virginia,Chance Mallory,10.2,3.7,ACC
Wake Forest,Nate Calmese,10.1,4.8,ACC
North Carolina,Luka Bogavac,10.0,2.3,ACC
Boston College,Boden Kapke,9.9,0.7,ACC
Clemson,Jestin Porter,9.7,1.3,ACC
Georgia Tech,Akai Fleming,9.7,1.3,ACC
Georgia Tech,Mouhamed Sylla,9.6,0.6,ACC
Louisville,Sananda Fru,9.6,1.3,ACC
NC State,Tre Holloman,9.6,2.2,ACC
Georgia Tech,Jaeden Mustaf,9.5,2.3,ACC
Virginia Tech,Tyler Johnson,9.5,1.9,ACC
Clemson,Nick Davidson,9.2,1.2,ACC
Syracuse,William Kyle III,8.9,1.0,ACC
Virginia,Jacari White,8.9,1.5,ACC
Duke,Caleb Foster,8.8,2.6,ACC
Pittsburgh,Damarco Minor,8.8,3.3,ACC
NC State,Matt Able,8.7,0.9,ACC
Florida State,Martin Somerville,8.6,2.2,ACC
Florida State,Kobe MaGee,8.4,0.9,ACC
Syracuse,Kiyan Anthony,8.4,1.0,ACC
Clemson,Ace Buckner,8.3,1.6,ACC
California,Lee Dort,8.2,1.1,ACC
Stanford,Jeremy Dent-Smith,8.2,1.7,ACC
Pittsburgh,Nojus Indrusaitis,8.1,1.6,ACC
Louisville,Adrian Wooley,8.0,1.5,ACC
North Carolina,Jarin Stevenson,7.9,0.9,ACC
Virginia Tech,Jaden Schutt,7.9,0.8,ACC
SMU,Jaden Toombs,7.8,0.9,ACC
Virginia,Johann GrÃ¼nloh,7.8,0.8,ACC
Clemson,Dillon Hunter,7.7,3.0,ACC
Georgia Tech,Kam Craft,7.3,0.9,ACC
Wake Forest,Mekhi Mason,7.3,1.2,ACC
Pittsburgh,Omari Witherspoon,7.2,2.4,ACC
Stanford,AJ Rohosy,7.1,0.6,ACC
Florida State,Alex Steen,7.0,0.9,ACC
Clemson,Zac Foster,6.9,2.5,ACC
Miami (FL),Ernest Udeh Jr.,6.9,0.5,ACC
Syracuse,Tyler Betsey,6.9,0.3,ACC
Boston College,Luka Toews,6.8,2.4,ACC
Miami (FL),Dante Allen,6.7,2.1,ACC
Duke,Cayden Boozer,6.5,2.9,ACC
Boston College,Jayden Hastings,6.4,0.8,ACC
Stanford,Aidan Cammann,6.4,1.4,ACC
Notre Dame,Carson Towt,6.3,1.7,ACC
Virginia,Ugonna Onyenso,6.3,0.6,ACC
Wake Forest,Omaha Biliew,6.2,0.4,ACC
Louisville,Khani Rooths,6.1,1.1,ACC
NC State,Jerry Deng,6.1,0.4,ACC
Clemson,Jake Wahlin,6.0,0.7,ACC
Stanford,Ryan Agarwal,6.0,0.8,ACC
Boston College,Chase Forte,5.9,2.9,ACC
Notre Dame,Sir Mohammed,5.9,1.5,ACC
Virginia,Dallin Hall,5.9,4.2,ACC
Duke,Dame Sarr,5.8,1.0,ACC
Syracuse,Sadiq White Jr.,5.8,0.5,ACC
Virginia Tech,Christian Gurdak,5.8,0.2,ACC
Duke,Nikolas Khamenia,5.7,1.1,ACC
Florida State,Thomas Bassong,5.7,0.4,ACC
North Carolina,Derek Dixon,5.7,2.6,ACC
Clemson,Efrem Johnson,5.5,0.9,ACC
Florida State,Cam Miles,5.5,1.8,ACC
Notre Dame,Brady Koehler,5.4,0.3,ACC
California,Rytis Petraitis,5.3,1.0,ACC
Miami (FL),Marcus Allen,5.3,1.6,ACC
Wake Forest,Sebastian Akins,5.1,1.9,ACC
SMU,Jermaine O'Neal Jr.,5.0,0.4,ACC
Wake Forest,Cooper Schwieger,5.0,0.8,ACC
Virginia,Devin Tillis,4.9,1.4,ACC
Miami (FL),Timotej Malovec,4.8,1.0,ACC
North Carolina,Jonathan Powell,4.8,0.8,ACC
Duke,Maliq Brown,4.6,1.8,ACC
NC State,Alyn Breed,4.6,1.4,ACC
Georgia Tech,Chas Kelley III,4.5,1.6,ACC
