Home,Away,Date
UConn,Providence,2026-02-22
UCLA,Wisconsin,2026-02-22
South Carolina,Ole Miss,2026-02-22
Texas,Mississippi State,2026-02-22
Vanderbilt,Kentucky,2026-02-22
Iowa,Michigan,2026-02-22
LSU,Missouri,2026-02-22
Louisville,Virginia,2026-02-22
Clemson,Duke,2026-02-22
Ohio State,USC,2026-02-22
Oklahoma,Tennessee,2026-02-22
TCU,Iowa State,2026-02-22
Maryland,Purdue,2026-02-22
Michigan State,Ohio State,2026-02-22
Minnesota,Michigan State,2026-02-22
UNC,Pitt,2026-02-22
Wisconsin,Iowa,2026-02-22
Florida,Alabama,2026-02-22
Boston College,Wake Forest,2026-02-22
Florida State,Stanford,2026-02-22
Hampton,Monmouth,2026-02-22
Indiana,Oregon,2026-02-22
Merrimack,Iona,2026-02-22
Richmond,La Salle,2026-02-22
Seton Hall,St. John's,2026-02-22
Temple,Memphis,2026-02-22
Towson,Stony Brook,2026-02-22
Illinois State,Murray State,2026-02-22
Memphis,UAB,2026-02-22
SMU,Notre Dame,2026-02-22
Miami,California,2026-02-22
Washington,Nebraska,2026-02-22
Bucknell,Holy Cross,2026-02-22
Lafayette,American,2026-02-22
Lehigh,Boston University,2026-02-22
Loyola,Colgate,2026-02-22
Detroit Mercy,Green Bay,2026-02-22
Elon,Northeastern,2026-02-22
Hofstra,UNC Wilmington,2026-02-22
IU Indianapolis,Detroit Mercy,2026-02-22
William & Mary,Drexel,2026-02-22
Cleveland State,Purdue Fort Wayne,2026-02-22
Drexel,Towson,2026-02-22
Marist,Sacred Heart,2026-02-22
Mount St. Mary's,Canisius,2026-02-22
NC State,Syracuse,2026-02-22
Quinnipiac,Fairfield,2026-02-22
Rider,Niagara,2026-02-22
Siena,St. Peter's,2026-02-22
Tulane,Rice,2026-02-22
Virginia Tech,Georgia Tech,2026-02-22
Wright State,Robert Morris,2026-02-22
Youngstown State,Northern Kentucky,2026-02-22
Bradley,Belmont,2026-02-22
DePaul,Xavier,2026-02-22
Drake,UIC,2026-02-22
Northwestern,Illinois,2026-02-22
Oakland,Milwaukee,2026-02-22
Texas A&M,Arkansas,2026-02-22
Villanova,Marquette,2026-02-22
North Texas,Florida Atlantic,2026-02-22
Southern Utah,Abilene Christian,2026-02-22
Tulsa,UTSA,2026-02-22
